Price,Close,High,Low,Open,Volume
Ticker,BKMC,BKMC,BKMC,BKMC,BKMC
Date,,,,,
2024-02-26,91.82132720947266,92.0900981978572,91.60769547228928,91.60769547228928,8100
2024-02-27,92.38938903808594,92.43467367956079,92.18854876135744,92.27715763770158,7700
2024-02-28,92.32933807373047,92.65127292000065,92.32933807373047,92.43468177123961,3200
2024-02-29,93.09429168701172,93.09429168701172,92.71526470052018,92.76842101583468,3800
2024-03-01,93.81888580322266,93.83266873962926,93.0155396558486,93.0155396558486,5700
2024-03-04,94.0827407836914,94.27570190109485,94.02957695383614,94.10833122849458,5600
2024-03-05,93.34928131103516,93.84251514115483,93.34928131103516,93.64561819713795,5600
2024-03-06,94.0098648071289,94.21660882202626,93.60622387646337,94.03939859338054,8800
2024-03-07,94.8614730834961,94.98354407748633,94.58383893687655,94.74825020856323,4600
2024-03-08,94.70001220703125,95.71207777526371,94.70001220703125,95.2995736641346,10100
2024-03-11,94.3465805053711,94.46274775002983,94.01972586819471,94.20678322374762,3200
2024-03-12,94.80731964111328,94.88607390493354,94.15656230557455,94.24615513903646,4700
2024-03-13,95.1135025024414,95.45709194327218,95.1135025024414,95.37833016300478,5400
2024-03-14,93.904541015625,95.2897298535931,93.71453178640617,95.2897298535931,6000
2024-03-15,93.86515808105469,94.16739871069626,93.72436933476374,94.16739871069626,7900
2024-03-18,93.82183837890625,94.2264633000574,93.82183837890625,94.01971926896987,7900
2024-03-19,94.42828369140625,94.45289768458643,93.70467585649877,93.70467585649877,6200
2024-03-20,95.65399169921875,95.67367838775098,94.13786130359908,94.13786130359908,6700
2024-03-21,96.77533721923828,96.9466361970227,96.14624198621479,96.53019625905456,7100
2024-03-22,96.00447082519531,96.49081691786351,95.86073771586251,96.49081691786351,5700
2024-03-25,96.06255340576172,96.36282610902671,96.06255340576172,96.36282610902671,5700
2024-03-26,95.89519500732422,96.35299128760576,95.89027521268305,96.35299128760576,12100
2024-03-27,97.29220581054688,97.29220581054688,96.71725828765099,96.71725828765099,5800
2024-03-28,97.54423522949219,97.80019975174183,97.54423522949219,97.80019975174183,9300
2024-04-01,96.99285125732422,97.83573904154264,96.8772420791033,97.83573904154264,3300
2024-04-02,95.7052993774414,96.0274369693634,95.29621554522838,96.0274369693634,4400
2024-04-03,96.07386779785156,96.24482008807728,95.93849161706206,95.93849161706206,4700
2024-04-04,95.05016326904297,96.74877743966393,95.05016326904297,96.74877743966393,3600
2024-04-05,95.6845474243164,95.93849556920408,95.20727418232298,95.20727418232298,4500
2024-04-08,96.05708312988281,96.26459161362285,95.93850362249873,96.0471996195401,53100
2024-04-09,96.207275390625,96.207275390625,95.76064026196215,96.03731822465755,6600
2024-04-10,94.5590591430664,94.77842631989105,94.23890429056065,94.52546576414241,9500
2024-04-11,94.3821792602539,94.49087524927428,93.75470833071063,93.82387782018641,14400
2024-04-12,92.68257904052734,93.57684443347166,92.41083906338456,93.57684443347166,9400
2024-04-15,91.41873931884766,92.89996140123873,91.10648527674321,92.89996140123873,10100
2024-04-16,90.98495483398438,91.17269627578227,90.47408069016902,90.70135616886158,10300
2024-04-17,90.33970642089844,91.42270088354478,90.15788300874073,91.42270088354478,6400
2024-04-18,89.96321868896484,90.9108444753654,89.93061290743942,90.23693385887084,6900
2024-04-19,90.17764282226562,90.54324973375692,89.87724747016891,90.4147942701125,6000
2024-04-22,90.90194702148438,91.46222365277251,90.2962183084659,90.2962183084659,7300
2024-04-23,92.07290649414062,92.28239017519304,91.56500261548574,91.56500261548574,7400
2024-04-24,92.17467498779297,92.2823833813172,91.57882977252169,92.2823833813172,7300
2024-04-25,91.58277893066406,91.63021374573728,90.66183335302105,90.66183335302105,4700
2024-04-26,91.95926666259766,92.21321481632324,91.84266235523017,91.84266235523017,41200
2024-04-29,92.48001098632812,92.79622299634477,92.45036799511638,92.45036799511638,3200
2024-04-30,90.69147491455078,92.22210711217356,90.69147491455078,92.22210711217356,6100
2024-05-01,90.94246673583984,92.11440527384339,90.57290939895815,90.61242836182909,6300
