Price,Close,High,Low,Open,Volume
Ticker,APCB,APCB,APCB,APCB,APCB
Date,,,,,
2024-02-26,28.03299903869629,28.05213933664906,27.994714791804014,28.05213933664906,21400
2024-02-27,27.994714736938477,28.03299898375572,27.975572613529856,28.023427922051408,29700
2024-02-28,28.052139282226562,28.061710343931065,28.009070417302993,28.009070417302993,32200
2024-02-29,28.080854415893555,28.113395662848244,28.042570166418976,28.042570166418976,30700
2024-03-01,28.181642532348633,28.200838444720755,28.143247046009275,28.172043660763794,43400
2024-03-04,28.14324378967285,28.172040401095433,28.124046048724463,28.133644919198655,36300
2024-03-05,28.268028259277344,28.287224170096753,28.22963277604371,28.22963277604371,127900
2024-03-06,28.325618743896484,28.364012395100026,28.31601987339626,28.330417263747922,55100
2024-03-07,28.354413986206055,28.392807635555627,28.30929948011325,28.392807635555627,42400
2024-03-08,28.41200828552246,28.421607156542265,28.38321167246305,28.392810543482856,46800
2024-03-11,28.402406692504883,28.431203302804516,28.35441417280277,28.421604432704637,64400
2024-03-12,28.316020965576172,28.325619836446634,28.25842957115082,28.325619836446634,53900
2024-03-13,28.248828887939453,28.29682140841532,28.248828887939453,28.277623667906052,35700
2024-03-14,28.095252990722656,28.17204212842709,28.085654119659917,28.17204212842709,115000
2024-03-15,28.02806282043457,28.076055345115783,28.02806282043457,28.071256824966646,105500
2024-03-18,28.018465042114258,28.066457568667275,28.008866170644147,28.047259825727053,50900
2024-03-19,28.06645965576172,28.076058527945627,28.018467125639855,28.06645965576172,55400
2024-03-20,28.172040939331055,28.229632332479177,28.076054063552593,28.229632332479177,44500
2024-03-21,28.124046325683594,28.15284293738976,28.104850415343513,28.143244066821037,38800
2024-03-22,28.239229202270508,28.2545877603939,28.200833722360652,28.22003146231558,46900
2024-03-25,28.229633331298828,28.23923220229604,28.18164080711022,28.210435589304407,52300
2024-03-26,28.277626037597656,28.287224908656686,28.21523612191016,28.220034642040943,21400
2024-03-27,28.335220336914062,28.35537741766207,28.28818714850205,28.28818714850205,32300
2024-03-28,28.316020965576172,28.35921496909454,28.306422094705713,28.33809855165798,39200
2024-04-01,28.155723571777344,28.239231734191623,28.15284372744617,28.22963286335353,40000
2024-04-02,28.12490463256836,28.12490463256836,28.03821813796855,28.04785017482666,43600
2024-04-03,28.12490463256836,28.153798906019507,28.03821813796855,28.067112411419696,36900
2024-04-04,28.192323684692383,28.211587756106702,28.124901271865237,28.192323684692383,23600
2024-04-05,28.067110061645508,28.14416451293622,28.067110061645508,28.14416451293622,34800
2024-04-08,28.0382137298584,28.105636140141975,28.0382137298584,28.105636140141975,10425500
2024-04-09,28.12490463256836,28.153798906019507,28.11527259571025,28.11527259571025,36200
2024-04-10,27.860027313232422,27.941898705324242,27.8455801769728,27.933229321294593,82400
2024-04-11,27.826316833496094,27.874477017496158,27.7781584866192,27.81186969685766,34900
2024-04-12,27.90240478515625,27.95152761491594,27.90240478515625,27.95152761491594,37600
2024-04-15,27.731922149658203,27.749259078988942,27.720364809145362,27.729032355249252,44000
2024-04-16,27.643312454223633,27.691470799024874,27.614416345069035,27.638495517469654,54800
2024-04-17,27.768524169921875,27.807052313958625,27.691469718971398,27.700139102516573,40600
2024-04-18,27.705915451049805,27.729996458414522,27.681836280808017,27.729996458414522,52900
2024-04-19,27.7492618560791,27.7492618560791,27.710735546724372,27.7492618560791,45000
2024-04-22,27.7492618560791,27.768525929318034,27.701103510104904,27.729999619963305,3222900
2024-04-23,27.778156280517578,27.835946659604854,27.710733865395255,27.710733865395255,46300
2024-04-24,27.739627838134766,27.739627838134766,27.68376460170433,27.697249084583813,16500
2024-04-25,27.63368034362793,27.645237684984878,27.57588812547393,27.58552016183293,48300
2024-04-26,27.691469192504883,27.749259570338282,27.681837156678817,27.70110122833095,37800
2024-04-29,27.78778648376465,27.797418519164403,27.729996108489033,27.749258342165632,34200
2024-04-30,27.691469192504883,27.739627534512216,27.67220512085275,27.691469192504883,50200
2024-05-01,27.761911392211914,27.781211042104303,27.713662267480938,27.77156121715811,169700
2024-05-02,27.848756790161133,27.88735424778617,27.761910209860005,27.761910209860005,27500
2024-05-03,28.00315284729004,28.032100483011313,27.94911529739326,28.02245249811489,35600
2024-05-06,28.05139923095703,28.069734450805292,28.012801771065654,28.0417494058552,735700
2024-05-07,28.089996337890625,28.13341962720008,28.080346513542324,28.11894397041973,30400
